rName	Reads	Index	rSubPool
3_TXNDC12_2	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_2	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSFM_3	288	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MARS2_2	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_3	161	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_1	144	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NTHL1_2	251	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDSS1_2	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	PKLR	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ANXA6_2	ANXA6	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_TSFM_3	TSFM	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MARS2_2	MARS2	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MTX2_3	MTX2	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MGST1_1	MGST1	50	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_NTHL1_2	NTHL1	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PDSS1_2	PDSS1	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_KIF1B_2	KIF1B	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_FAHD1_1	FAHD1	22	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_GNB2L1_3	GNB2L1	42	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ECI2_4	ECI2	26	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MAOB_4	MAOB	87	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ATP5I_3	ATP5I	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RNF5_4	RNF5	130	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_TXNDC12_4	TXNDC12	21	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MTERF2_4	MTERF2	73	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NIPSNAP3A_2	NIPSNAP3A	14	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RPL35A_3	RPL35A	9	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DDHD2_3	DDHD2	24	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SLC25A21_2	SLC25A21	27	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_KIF1B_1	KIF1B	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPS18C_2	MRPS18C	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_COX20_4	COX20	30	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RSPH9_1	RSPH9	33	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__16	_NONTARGET_	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_YARS2_4	YARS2	59	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_GCSH_3	GCSH	14	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_COX18_2	COX18	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PARK7_4	PARK7	60	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_FAHD2A_4	FAHD2A	35	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SUCLA2_1	SUCLA2	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_YARS2_2	YARS2	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NDUFA13_2	NDUFA13	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DDHD2_2	DDHD2	94	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TFDP2_2	TFDP2	37	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_METTL17_3	METTL17	112	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ATG13_1	ATG13	17	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ABCB7_2	ABCB7	66	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPL18_2	MRPL18	43	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DDX28_3	DDX28	95	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_COX6B2_3	COX6B2	23	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PDE2A_4	PDE2A	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_AK3_4	AK3	143	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_BPHL_4	BPHL	50	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MYO19_1	MYO19	60	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ABCG2_3	ABCG2	32	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RNASEL_3	RNASEL	61	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DNAJC19_4	DNAJC19	13	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPL18_3	MRPL18	25	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__6	_NONTARGET_	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SARDH_1	SARDH	42	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GFM2_1	GFM2	34	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LETMD1_4	LETMD1	65	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_FAM162A_1	FAM162A	33	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPL42_1	MRPL42	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LONP2_1	LONP2	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SYNJ2BP_2	SYNJ2BP	25	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ETHE1_1	ETHE1	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLUD2_3	GLUD2	61	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MFN2_1	MFN2	64	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LMAN1_4	LMAN1	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLRX5_3	GLRX5	67	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LIAS_3	LIAS	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_BNIP3L_1	BNIP3L	103	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RDH13_4	RDH13	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_VPS11_4	VPS11	93	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TFDP2_1	TFDP2	79	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SDHA_1	SDHA	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_NFE2L2_4	NFE2L2	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LACE1_1	LACE1	46	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NADK2_3	NADK2	60	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SYNJ2BP_3	SYNJ2BP	67	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_ARMCX1_4	ARMCX1	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SDHAF1_1	SDHAF1	11	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_GPX1_1	GPX1	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LARS2_3	LARS2	33	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TOMM70A_3	TOMM70A	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TOMM70A_2	TOMM70A	85	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_CMPK2_3	CMPK2	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TOMM70A_4	TOMM70A	80	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PDP1_1	PDP1	70	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_GPX4_2	GPX4	17	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LETMD1_1	LETMD1	93	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ABCG2_2	ABCG2	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_OXR1_4	OXR1	58	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_FASTK_4	FASTK	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_TMEM126A_1	TMEM126A	29	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TIMM10B_3	TIMM10B	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_ARMCX1_1	ARMCX1	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_BDH1_4	BDH1	77	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MGST1_4	MGST1	77	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MLH1_1	MLH1	95	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MMAA_2	MMAA	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_CALM1_1	CALM1	110	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_HSD17B4_3	HSD17B4	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_THNSL1_1	THNSL1	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_PDF_3	PDF	38	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPS18C_3	MRPS18C	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_HSD17B4_4	HSD17B4	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_SARM1_2	SARM1	59	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MYO19_3	MYO19	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLUD1_4	GLUD1	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ALDH7A1_4	ALDH7A1	57	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LETM1_3	LETM1	69	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_COQ3_4	COQ3	33	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_OPA1_3	OPA1	82	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NDUFA3_1	NDUFA3	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ATP5I_4	ATP5I	52	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_UQCR10_1	UQCR10	74	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SLC27A1_4	SLC27A1	24	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_METTL8_1	METTL8	64	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_APOA1BP_2	APOA1BP	23	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MFN2_4	MFN2	126	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ACSL4_4	ACSL4	50	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LIAS_4	LIAS	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_COX20_1	COX20	56	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPS2_3	MRPS2	35	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MRPL33_1	MRPL33	67	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ATG13_4	ATG13	87	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MGST1_2	MGST1	46	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPL27_1	MRPL27	73	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RPL35A_1	RPL35A	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ACOT9_3	ACOT9	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DNAJC19_3	DNAJC19	58	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SLC27A1_1	SLC27A1	29	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ACOT9_2	ACOT9	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLUD1_3	GLUD1	103	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLS_1	GLS	85	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPS18C_4	MRPS18C	83	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MMAA_1	MMAA	46	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_C8ORF82_3	C8ORF82	67	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLUD2_4	GLUD2	38	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_DHCR24_3	DHCR24	29	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_CPT1C_4	CPT1C	32	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_C2ORF69_4	C2ORF69	38	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GOT1_1	GOT1	53	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MTX2_4	MTX2	118	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PDE2A_1	PDE2A	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ABCB7_1	ABCB7	47	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_SOD1_2	SOD1	19	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GFM2_3	GFM2	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TOMM70A_1	TOMM70A	43	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MMACHC_3	MMACHC	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_NFE2L2_3	NFE2L2	46	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LETM1_1	LETM1	26	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MFN2_3	MFN2	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_PPOX_2	PPOX	76	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RSAD2_1	RSAD2	42	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__2	_NONTARGET_	69	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SHMT1_2	SHMT1	40	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MTX2_2	MTX2	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_CECR5_2	CECR5	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_STOML2_1	STOML2	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_MTERF3_1	MTERF3	47	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ATP10D_1	ATP10D	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GBAS_2	GBAS	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_MTIF3_4	MTIF3	84	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPL27_3	MRPL27	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_NFE2L2_1	NFE2L2	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_HSPB7_4	HSPB7	60	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TFDP2_4	TFDP2	71	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ACOX1_4	ACOX1	50	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MMAA_3	MMAA	128	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ECI2_2	ECI2	79	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2__NONTARGET__4	_NONTARGET_	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ATP10D_3	ATP10D	80	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__4	_NONTARGET_	75	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ABHD11_2	ABHD11	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPS14_1	MRPS14	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_HSPB7_3	HSPB7	73	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_OPA1_2	OPA1	43	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TFAM_2	TFAM	61	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ABCD2_3	ABCD2	4	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_HSPB7_2	HSPB7	93	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__7	_NONTARGET_	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ACSL4_2	ACSL4	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SLIRP_2	SLIRP	47	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ALAS1_4	ALAS1	24	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_GCSH_4	GCSH	12	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LONP2_2	LONP2	52	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_SDSL_1	SDSL	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ACOX1_2	ACOX1	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_TMEM126A_2	TMEM126A	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_AK4_2	AK4	76	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_ABCD1_3	ABCD1	118	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RSAD2_2	RSAD2	40	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ECI2_1	ECI2	42	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_UBE2D3_2	UBE2D3	40	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NT5M_4	NT5M	84	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_CMPK2_1	CMPK2	15	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLS_3	GLS	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_COX7A2L_3	COX7A2L	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_SOD1_3	SOD1	37	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ALAS1_2	ALAS1	52	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_DHCR24_2	DHCR24	22	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_UCP3_1	UCP3	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__3	_NONTARGET_	32	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3__NONTARGET__8	_NONTARGET_	43	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ATIC_1	ATIC	40	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_FAHD2A_2	FAHD2A	50	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_ARMCX1_2	ARMCX1	138	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ACO1_1	ACO1	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_TSTD3_3	TSTD3	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_CALM1_2	CALM1	87	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_EYA2_4	EYA2	16	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__8	_NONTARGET_	37	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPL11_3	MRPL11	33	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MRPL42_2	MRPL42	85	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NADK2_2	NADK2	30	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_CROT_2	CROT	85	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_DDX28_2	DDX28	53	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SDHA_4	SDHA	62	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MRPS2_4	MRPS2	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SHMT1_3	SHMT1	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_CROT_4	CROT	69	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__10	_NONTARGET_	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MRPL35_3	MRPL35	58	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_HADHB_2	HADHB	22	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GOT1_3	GOT1	65	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_VPS11_3	VPS11	88	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PKLR_2	PKLR	77	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_EARS2_4	EARS2	36	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_C2ORF69_2	C2ORF69	17	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_SLC25A46_4	SLC25A46	25	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ANXA6_3	ANXA6	49	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PARK7_2	PARK7	25	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_UQCR10_4	UQCR10	37	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MGST1_3	MGST1	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ATP10D_4	ATP10D	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_CECR5_3	CECR5	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__15	_NONTARGET_	167	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SCO1_1	SCO1	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ATP5L_3	ATP5L	25	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_HADHB_3	HADHB	41	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RNF5_2	RNF5	94	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SDHAF2_4	SDHAF2	22	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_YARS2_3	YARS2	63	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_TBRG4_4	TBRG4	44	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_ISCA2_2	ISCA2	27	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4__NONTARGET__11	_NONTARGET_	62	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_LIAS_2	LIAS	39	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_SOD1_4	SOD1	34	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ATP10D_2	ATP10D	48	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_BPHL_2	BPHL	93	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RSPH9_3	RSPH9	29	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_TMEM177_2	TMEM177	15	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ALDH3A2_4	ALDH3A2	54	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLUD2_1	GLUD2	67	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_DHCR24_1	DHCR24	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_IDH1_4	IDH1	42	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_MTIF3_3	MTIF3	35	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_MPC2_4	MPC2	27	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_GLS_4	GLS	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_ATP5L_4	ATP5L	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_PDF_4	PDF	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_HSDL2_4	HSDL2	32	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_MCCC1_3	MCCC1	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_PDE2A_3	PDE2A	23	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_CPT1C_2	CPT1C	55	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_SUCLA2_3	SUCLA2	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ACSL4_1	ACSL4	62	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_COX7A2L_2	COX7A2L	16	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_LACE1_3	LACE1	28	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_TMEM177_3	TMEM177	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_MRPL35_1	MRPL35	82	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_TIGAR_3	TIGAR	18	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_SDHA_2	SDHA	35	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
1_GTPBP10_4	GTPBP10	94	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_NADK2_4	NADK2	45	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_AURKAIP1_3	AURKAIP1	16	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_ALDH3A2_3	ALDH3A2	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
3_TSTD3_2	TSTD3	43	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_MTERF3_4	MTERF3	14	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_AK3_3	AK3	30	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_RPL35A_4	RPL35A	51	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_TMEM126A_4	TMEM126A	31	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
4_KIF1B_4	KIF1B	29	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
2_MTERF3_2	MTERF3	74	Bulk Sample MSPH1-4 WT +Dox 2022-12-1	1
